Column 1,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_re,Positive Sentiment Sum,Negative Sentiment Sum,Positive Sentiment Mean,Negative Sentiment Mean,Overall Sentiment
12,0cf69edc-269f-4ff5-941a-b449c512e7f2,Malik Hashim,https://play-lh.googleusercontent.com/a-/AFdZucq-fb8Awfn63VX_juGpdrVorHtvs9u5FRX2tbVQ,Hi dear Please kindly put the option in app for language change in Hindi and the others because many people who lived in out of there country to see movies and Web series and etc in his own language,5,0,8.40.0 build 4 50271,9/15/22 12:17,,,hi dear please kindly put the option in app for language change in hindi and the others because many people who lived in out of there country to see movies and web series and etc in his own language,0,0,0,0,0
13,ae149bdb-bcc2-4233-a0e3-aff418e5ef24,Paul maku,https://play-lh.googleusercontent.com/a/AItbvmnJ39GgxdP8jhS-qSn52g9u3GdNfRw_wSQLmlpV=mo,Perfect though some movies are still locked.,5,0,8.40.0 build 4 50271,9/15/22 12:17,,,perfect though some movies are still locked,90,0,90,0,90
14,f53a5b72-4aa3-4fb9-8705-1207e36da67d,Ismail Ahmed Farah,https://play-lh.googleusercontent.com/a-/AFdZucpRo22qPxVF-rKLY3h2XXti0HDUpdBpWxCmEgOYSA,Nice app,5,0,,9/15/22 12:07,,,nice app,25,0,25,0,25
15,913e63b3-0ad9-45d5-a546-5dddd59180a3,Luka Games,https://play-lh.googleusercontent.com/a-/AFdZucry5UNp3r8JRDCVdX1TKfWVF8e1I79ieq7tQXcQwg,AMAIZING MOVIES AND SERIES!,5,0,8.40.0 build 4 50271,9/15/22 12:02,,,amaizing movies and series,0,0,0,0,0
16,313d07d1-508f-4a31-abcc-9ae0746eb1eb,SinkingSail,https://play-lh.googleusercontent.com/a/AItbvmkGVVVR82TXjZ-hhD0p_eTIYvKy5aB5269QtsSu=mo,Don't send notifications when I have already DISABLED notifications! Can't rotate screen to watch videos in portrait mode even though screen rotation is enabled.,1,0,8.40.0 build 4 50271,9/15/22 12:00,,,don't send notifications when i have already disabled notifications can't rotate screen to watch videos in portrait mode even though screen rotation is enabled,0,0,0,0,0
17,47351bb1-51ff-4058-843b-fff86dc0dc37,Amanda Holleman,https://play-lh.googleusercontent.com/a/AItbvmlGnKwk9B7A0Nr1HouszZpRm88eyFEZE5p-GGYl=mo,no ads,5,0,8.24.0 build 10 40205,9/15/22 11:42,,,no ads,0,0,0,0,0
18,c5d03ab6-4858-49ed-a5c8-dda8d5f77b4a,aya azouggar,https://play-lh.googleusercontent.com/a-/AFdZucp-wDMvA8sdAXHKb2F4WxFlGn6pvNvr1A4erPHVnw,Null,1,0,,9/15/22 11:40,,,null,0,0,0,0,0
19,4fbcbe63-000d-4e38-bf51-bcf70a200079,Hitesh Sood,https://play-lh.googleusercontent.com/a-/AFdZucqXZZiL3bZJebTOlAmoMM3QoL2aletY16_qLhyATA,"Fix your app, hdr content looks so bad . Its unwatchable. You tube HDR works perfect on same phone .",2,0,8.40.0 build 4 50271,9/15/22 11:31,,,fix your app hdr content looks so bad its unwatchable you tube hdr works perfect on same phone,90,-84,90,-84,3
20,8d828023-da73-4f39-a991-b4c589f50e32,prateek sen,https://play-lh.googleusercontent.com/a/AItbvmkG_5mI0BdapOcsLWp8-FVTH6s7-rSMibycB_R9=mo,Actually I've been try alot to downlad it in my tabet but its not downloading but I have it in my computer and its working I don't know how to download ths in my tablet,5,0,,9/15/22 11:24,,,actually i've been try alot to downlad it in my tabet but its not downloading but i have it in my computer and its working i don't know how to download ths in my tablet,30,0,30,0,30
21,888f1934-f952-4bad-8467-8177303cd62d,Mohamed Wael,https://play-lh.googleusercontent.com/a-/AFdZucoqhzp7WbPhL-J1NmIdQQU-zMF8zKYqgqGYs-EA,The app closes automatically after open with 1 second (crashing/bug) My device is good and it before 3 days its good and working now no Solve it,5,2,8.39.1 build 12 50268,9/15/22 11:15,,,the app closes automatically after open with 1 second crashing bug my device is good and it before 3 days its good and working now no solve it,150,0,50,0,50
22,131520e5-d879-4b71-818a-8a13f7876593,Mal Eido,https://play-lh.googleusercontent.com/a-/AFdZucojAHFhjJp5nOSwI6zWKhgsn-XL_l8KxEpr-mXb,100/100,5,0,8.39.1 build 12 50268,9/15/22 11:14,,,100 100,0,0,0,0,0
23,25934547-df2c-4ad2-b57b-d036946a05fd,baldrickxjr,https://play-lh.googleusercontent.com/a/AItbvmlxIPdPBr1qXYyH_VLFypqz_0fudWvELOiZH_te=mo,Was OK but now will not load. Tried reinstalling but just the same.,1,0,8.40.0 build 4 50271,9/15/22 11:12,,,was ok but now will not load tried reinstalling but just the same,0,0,0,0,0
24,d3f2fef5-b027-40d0-ba64-72a55b9c15f4,Rachel Brown,https://play-lh.googleusercontent.com/a/AItbvmnEVKfb1Oaw6UTMCgCSj5E_KxinRJ46czFqXSOC=mo,Doesn't work on mytablet,1,0,7.120.3 build 29 35592,9/15/22 11:06,,,doesn't work on mytablet,0,0,0,0,0
25,ae2c028d-1ec5-4ad0-b1cc-46bcbee0e192,Sarbel,https://play-lh.googleusercontent.com/a-/AFdZucqEVC1CrZexEnHZYjd8yLM3zQ9DreJHlXaGp-aWZA,ok,5,0,8.31.1 build 14 50243,9/15/22 10:56,,,ok,0,0,0,0,0
26,5e81b454-cecb-47ea-89d7-294d236d4f59,Marylou Listello,https://play-lh.googleusercontent.com/a/AItbvmmZv6Qo5p7usmQZOO7WKQkIqDAxVVbwfH1BzWkp=mo,Love that I can watch full episodes I choose w/o commercials!,5,0,,9/15/22 10:36,,,love that i can watch full episodes i choose w o commercials,70,0,70,0,70
27,1e6f1039-70fe-48ce-9c96-09a4bceeb04b,Vivian,https://play-lh.googleusercontent.com/a/AItbvmlT7lwyGBdaKXO36exV0jqBSZAE79ONKjvl-BNW=mo,It's really fantastic,5,0,,9/15/22 10:35,,,it's really fantastic,100,0,100,0,100
28,ef9bf390-40f4-4c18-8726-fa2246c83a36,Jagmeet Singh,https://play-lh.googleusercontent.com/a-/AFdZucqyIF-KMzEJUA0CHSUmCZuxSSpDvZZUPPSUZ_MTUg,Great Intertainment 👍🏻,5,0,8.40.0 build 4 50271,9/15/22 10:31,,,great intertainment,80,0,80,0,80
29,1055a0e6-1933-4d01-944b-adc2a9c77513,Monique Brewer,https://play-lh.googleusercontent.com/a-/AFdZucrmmBq54WqnC9eE-PuJ5taCrPNMcNfN_-xBDshB,I love Netflix because my kids can look at all da movies they love on Netflix because it hve sum of da old movies u hvent look at in along time,5,0,8.40.0 build 4 50271,9/15/22 10:29,,,i love netflix because my kids can look at all da movies they love on netflix because it hve sum of da old movies u hvent look at in along time,140,0,70,0,70
30,5e94a424-0d3a-4ce6-8aed-758a7612721b,•,https://play-lh.googleusercontent.com/a-/AFdZucrd9MNz-sOeZLzXdxhrL7H0kE-JE5grgaLv7g3iNA,why delete season,1,0,8.39.1 build 12 50268,9/15/22 10:28,,,why delete season,0,0,0,0,0
31,8a30e74a-b28b-4ee6-a10d-cf66ab7a5500,jaya jangir,https://play-lh.googleusercontent.com/a-/AFdZucqKXDoLVKmxbLsi8koKtetyaMNsM4faaQ5shRq5Ng,Facing lot of problems during transaction,1,0,8.9.1 build 14 40080,9/15/22 10:25,,,facing lot of problems during transaction,0,-60,0,-60,-60
32,1c7ad371-dca1-43eb-a81d-de3c2c3bc37a,Mose Njigze,https://play-lh.googleusercontent.com/a/AItbvmnaueBQj1XqIMLWAmZZ7sW0wib8KIAHeoa9zEcK=mo,Amazing,5,0,8.30.3 build 14 50239,9/15/22 10:21,,,amazing,90,0,90,0,90
33,3547808c-9888-4e37-9b0c-8ec818748787,Aien Didi,https://play-lh.googleusercontent.com/a-/AFdZucr6E5yzxPPkT8KEuDZJldJW4_Sb6llTBh1-3q8IkA,"i dont know what happen with my netflix. when i open it, it close instantly. i try uninstallled and reinstalled my netflix. the problem still same like before. i dont know how to solve this problem. please help me.",3,0,7.120.3 build 29 35592,9/15/22 10:19,,,i dont know what happen with my netflix when i open it it close instantly i try uninstallled and reinstalled my netflix the problem still same like before i dont know how to solve this problem please help me,0,-120,0,-60,-60
34,d53c2ff1-c154-411a-9e9e-59d5b98e409e,Mr . Devil playz,https://play-lh.googleusercontent.com/a-/AFdZucoDR6LUpn2c0SJZD7UUI-tiDywHbrE0MKE0ZsI-Jw,Make partnership with Sony yah and help then to dub Naruto and available Naruto on Netflix also,4,0,,9/15/22 10:16,,,make partnership with sony yah and help then to dub naruto and available naruto on netflix also,0,0,0,0,0
35,17f9ff6b-bced-45ab-ba9d-e189a03f75df,Rafia,https://play-lh.googleusercontent.com/a/AItbvmmCkWG3h7FornGk6Dn2IUef15BBOtqB9d6QwMqJ=mo,I do not like the new update. Feels too crowded. The subtitles have a black background while watching on android phone which is very irritating. And there is nothing a user can do about it.,1,0,8.40.0 build 4 50271,9/15/22 10:10,,,i do not like the new update feels too crowded the subtitles have a black background while watching on android phone which is very irritating and there is nothing a user can do about it,0,-64,0,-64,-64
36,aa56c601-462f-47ee-a2f2-0b213ff2bbd7,Wambui Muturi,https://play-lh.googleusercontent.com/a-/AFdZucos_6n0qZBp4YjqkXJeAHLLEqFWw9G-o3e0Px_5sQ,Zero assistance while trouble shooting,1,0,8.40.0 build 4 50271,9/15/22 10:09,,,zero assistance while trouble shooting,0,0,0,0,0
37,967636c2-0d63-4451-bfa5-007a10e457af,Olly Press,https://play-lh.googleusercontent.com/a/AItbvmlWjrwIptL7J5V7LPau46_wNSuLUAy2R42mWMk7=mo,bugs is says i have no internet fix that pls,3,0,8.40.0 build 4 50271,9/15/22 10:04,,,bugs is says i have no internet fix that pls,0,0,0,0,0
38,a9ccf01c-7824-42f4-8389-8438354453b9,Sunain Ali,https://play-lh.googleusercontent.com/a/AItbvmnXXTmdWJwCDH_Y4LE7NQkI9K589-pFrzApZDZr=mo,I love Netflix 💖,5,0,,9/15/22 9:58,,,i love netflix,70,0,70,0,70
39,80ba0123-1abd-4943-a734-394be1cd0d15,Pukar Acharya,https://play-lh.googleusercontent.com/a-/AFdZucqhcdlNUnRd6SwhSpcFHsLUFa5Yg89N2vwdlhuQ-Q,i love this platform,5,0,8.39.0 build 9 50265,9/15/22 9:51,,,i love this platform,70,0,70,0,70
40,b5f729ed-5004-4d9a-b0ed-6504447644a3,El Cid,https://play-lh.googleusercontent.com/a-/AFdZucolBQ_QC_CHakMtzP0tU_gPFtHiY9OdZyD_6kZzbQ,"WHAT ARROGANCE!! INFORM WHAT IS UPDATED!! YOU'RE DISRESPECTING!""""""PAYING'""""! CLIENTES!",1,2,8.39.1 build 12 50268,9/15/22 9:47,,,what arrogance inform what is updated you're disrespecting paying' clientes,0,0,0,0,0
41,bdc49df9-1a62-4ead-9b23-ff001cb3f727,Babu Marma,https://play-lh.googleusercontent.com/a/AItbvmk4CFTpweDqQvNSTwlpKpsKdARTglKIrBSedz3P=mo,Good,3,0,8.30.3 build 14 50239,9/15/22 9:46,,,good,60,0,60,0,60
42,06d894e3-4721-4092-a337-c76173ecdb8c,Shobhit Dewal (Shobhit Dewal),https://play-lh.googleusercontent.com/a-/AFdZucrs013-rIyfQt49B2WIcosqU-Ah9sNK-gDG7OnlDw,भाई कुछ पैक सस्ते कर दो,5,0,,9/15/22 9:43,,,,0,0,0,0,0
43,99c0913d-d798-427c-9029-cd531722bfb9,Pruthvi thakar,https://play-lh.googleusercontent.com/a-/AFdZuco2-oKg1253XxIP8Us1TqGGjk0nrg5Ym0BZW_daYQ,Nice,5,0,8.40.0 build 4 50271,9/15/22 9:38,,,nice,25,0,25,0,25
44,bbfb2a3d-4fa0-472c-a8ad-101146d7cf27,Brenda,https://play-lh.googleusercontent.com/a/AItbvmlpf-2sAF93JBVJRnbmGvqiwwfiQC7Ld6KLSZmZ=mo,You can watch movies & horror movie's and more,5,0,8.40.0 build 4 50271,9/15/22 9:37,,,you can watch movies horror movie's and more,0,0,0,0,0
45,cfe7036c-e2ec-4805-b968-5942e2ce274a,Gerry Ambrose,https://play-lh.googleusercontent.com/a-/AFdZucpHE_FRE2c5zRJWg3Udom5SJShHHBJwMKclq7ETig,Eat bhaaj phakaal.,1,0,,9/15/22 9:32,,,eat bhaaj phakaal,0,0,0,0,0
46,fe395a8d-3211-4ac7-85ea-e80de81785df,Anil Sharma,https://play-lh.googleusercontent.com/a/AItbvmm26laHKvVZKst1ZUilhPr5YBWYqAfQU-lT_8uH=mo,The app is not responding for a week. Just appear first screen and then hanged there. Kindly fix the issue.,1,0,8.40.0 build 4 50271,9/15/22 9:28,,,the app is not responding for a week just appear first screen and then hanged there kindly fix the issue,0,0,0,0,0
47,0ae15367-7dc1-4395-ac03-8f373270bc91,Ifeanyichukwu Ogbodo,https://play-lh.googleusercontent.com/a-/AFdZucrCflweupWL_PPKyNfcf4dp23W3via3SPFLywG9tw,"Good hook up, never easy to leave.",5,0,8.39.1 build 12 50268,9/15/22 9:27,,,good hook up never easy to leave,60,-60,60,-60,0
48,ea98c9a6-d6f5-4c57-8689-4dcd49c92657,Chileshe Musonda,https://play-lh.googleusercontent.com/a/AItbvmlOX0RxqGw2Lws7l70eCnywguSpNT4hJi7ZxyXI=mo,Lovely app the movies are very amazing,5,0,,9/15/22 9:22,,,lovely app the movies are very amazing,100,0,100,0,100
49,f26c0e93-c45b-4b60-aab9-ad6a5726876d,Linu Thalakkat,https://play-lh.googleusercontent.com/a-/AFdZucopXCBamz7kjdMOGNuy0bvAEk-xEV1STaazR54J,Nothing getting on basic plan,1,0,8.40.0 build 4 50271,9/15/22 9:22,,,nothing getting on basic plan,0,0,0,0,0
50,ea453d67-c774-4c18-b248-56935e036dcd,dheeraj jakhar,https://play-lh.googleusercontent.com/a-/AFdZucpVHfZ3BNT965GTNL9g3rKkRPC8lJC65m7XUk_IOQ,Very very good 😊,5,0,8.40.0 build 4 50271,9/15/22 9:21,,,very very good,100,0,100,0,100
51,c892a850-1036-4881-b0a3-c7b7ad2d5043,pushpendra suryavanshi,https://play-lh.googleusercontent.com/a/AItbvmmpks9hp8fF7uYqJTzFghBpx1_vz5xvZsoOxyVZ=mo,How to unsubscribe the Netflix service??,2,0,8.37.0 build 13 50262,9/15/22 9:15,,,how to unsubscribe the netflix service,0,0,0,0,0
52,59c56cf9-cd99-4c3a-80a5-d505940513b0,Sister Donut Forge,https://play-lh.googleusercontent.com/a-/AFdZucoIYxj3wR5erEZAaNULKtFIUmZd70AlhRoghiekLg,I love Netflix but yall should update the payment method so we can pay with PayPal too,5,0,8.31.1 build 14 50243,9/15/22 9:10,,,i love netflix but yall should update the payment method so we can pay with paypal too,70,0,70,0,70
53,417de854-9a88-4d8b-9b54-bac64eb21a11,Oluwafemi Shinaayomi,https://play-lh.googleusercontent.com/a/AItbvmleKJYI0eXyMJs7vs-NgFU0gENK__4AKrBmMBQA=mo,This app is the. Besttt app ever,5,0,8.39.1 build 12 50268,9/15/22 9:08,,,this app is the besttt app ever,0,0,0,0,0
54,875cd07d-d5d9-49c6-9b0d-a65d9ea879cd,Phidisho Mahlakeng,https://play-lh.googleusercontent.com/a/AItbvmk0weVUxJZP7AfXKG-KBVluH3CY82dGxzFywjr_=mo,Good,5,0,,9/15/22 9:06,,,good,60,0,60,0,60
55,eea6a0e0-2c70-42e7-846a-d1d7bb747903,Mujahed Shaikh,https://play-lh.googleusercontent.com/a/AItbvmlLfu5p4zbwPKOWUAOPsQ4rGU6e2E3R-vDO1ID0=mo,Good,5,0,8.39.1 build 12 50268,9/15/22 8:57,,,good,60,0,60,0,60
56,64d9830b-7234-4811-ac48-77de9c087623,Devu Talkies,https://play-lh.googleusercontent.com/a-/AFdZucqj-DlGIwwRvA2mQPUg-T1BbAi4MB40SiP7qUOeCw,"Hey, this app is not working even i log in after some days it began to show some error happen.",2,0,,9/15/22 8:54,,,hey this app is not working even i log in after some days it began to show some error happen,0,-30,0,-30,-30
57,d22a5d89-10a1-470d-9f8a-f3801995d6dd,Suze Q (Suze),https://play-lh.googleusercontent.com/a-/AFdZucpezfnPkXxW5FGZrWFp1c3KlseHL-MW7p7ebdlxJcQ,Delightful,4,0,8.39.1 build 12 50268,9/15/22 8:44,,,delightful,0,0,0,0,0
58,e1f32ae1-df42-4b33-a92d-7a0874667467,Majeed Thayyil,https://play-lh.googleusercontent.com/a-/AFdZucqdBld3blWNe59MJ-RKK6fDBfmjeQ6stfp5Y8sqsg,Good,4,0,8.40.0 build 4 50271,9/15/22 8:40,,,good,60,0,60,0,60
59,88c2f090-6b5b-4fcc-a6fc-ae8d29c5709a,Pat Mol,https://play-lh.googleusercontent.com/a-/AFdZucpU_Q7eAB6zE_0PVkShFGHugn9pEWQWDY-FT2PFZ_E,Instant view and excellent,5,0,8.40.0 build 4 50271,9/15/22 8:38,,,instant view and excellent,90,0,90,0,90
60,1e7bb04c-9dfd-48aa-9dd8-117d51a54988,The Darkside Gamer 2,https://play-lh.googleusercontent.com/a-/AFdZucpzusYd1gNz5-QbOCnorVsFOBf9rpV6fTKyB4_KAg,Awesome movies are available here but this app cost full,5,0,8.39.1 build 12 50268,9/15/22 8:20,,,awesome movies are available here but this app cost full,90,0,90,0,90
61,5810469c-9c89-4b0b-806a-463783d9810b,Naveen Dalal,https://play-lh.googleusercontent.com/a-/AFdZucqFwOrnnXj2a00eIwTINNIf4B0LGtt4QACsB0ntjA,Worst experience...they show a pop up window in which they ask whether upgrade the plan or not...if you by mistake click on that immediately higher plan will start...and money will be taken...what kind of nonsense is that...ask for confirmation and if we switch back to the lower plan that should be applied immediately...why are you not apying for it immediately,1,0,8.40.0 build 4 50271,9/15/22 8:10,,,worst experience they show a pop up window in which they ask whether upgrade the plan or not if you by mistake click on that immediately higher plan will start and money will be taken what kind of nonsense is that ask for confirmation and if we switch back to the lower plan that should be applied immediately why are you not apying for it immediately,0,-80,0,-80,-80
62,0f0d25e5-2010-445a-a9a1-8ccdd9f2e903,Psalm Torre,https://play-lh.googleusercontent.com/a-/AFdZucrSrhZ-zNFcIVwJvQqZ7J5SgstG54r0-qPgemK3PQ,Please put outline on the subtitles,3,0,8.40.0 build 4 50271,9/15/22 8:06,,,please put outline on the subtitles,0,0,0,0,0
63,c5f3b362-a2a0-4974-bac8-084ec868e2c0,Bhargav Somu,https://play-lh.googleusercontent.com/a/AItbvmk25JEUipGqxqBi_Ufrj9bdiN7CCCqCgMA9PYPY=mo,My Netflix is not singing,1,0,8.40.0 build 4 50271,9/15/22 8:02,,,my netflix is not singing,0,0,0,0,0
64,a8f8d57b-8670-4283-8893-7b78c81d7d0a,Tanjila Hossain,https://play-lh.googleusercontent.com/a/AItbvmmq1AIaTdV7SvRkSnRfQZyPCu47gH8xDwtkHGhb=mo,2 hi d78 YG yivyyivy in 7o8 pl see 7fgu 7 996 you eure 3D 9 on 5d77 no R9 in ubi a,3,0,8.40.0 build 4 50271,9/15/22 7:42,,,2 hi d78 yg yivyyivy in 7o8 pl see 7fgu 7 996 you eure 3d 9 on 5d77 no r9 in ubi a,0,0,0,0,0
65,ba8d6387-a9ce-46ae-a616-6a4b035b9089,Ressabbull Arin,https://play-lh.googleusercontent.com/a/AItbvmkO2bqjHi984SnMW81uquB1WNHAP4nzgrEiGeHY=mo,Țjģ,3,0,,9/15/22 7:37,,,j,0,0,0,0,0
66,fb8d0dbf-4db6-4286-96b6-08e6d284033b,Koli Vea,https://play-lh.googleusercontent.com/a/AItbvmnPGi0gu06m5DFjT3PHrQHOyjqQuqKp25atgvaX=mo,I like this app,4,0,8.40.0 build 4 50271,9/15/22 7:32,,,i like this app,0,0,0,0,0
67,7b4d9d8e-5c0f-429d-b6b4-bdff418b2b88,Phung Siya,https://play-lh.googleusercontent.com/a/AItbvmleehka0wXukVKURSbd45jAxmJgtW3JDEj2baQ=mo,"This is a very good app but i wonder where do you get the movies? Anyway otherthan that evreything is really good, i'd say give yourself a pat you did good.",5,0,8.30.0 build 5 40236,9/15/22 7:31,,,this is a very good app but i wonder where do you get the movies anyway otherthan that evreything is really good i'd say give yourself a pat you did good,240,0,80,0,80
68,d9b04037-3c91-4453-9af1-ac17b31ad643,Yasir Raina,https://play-lh.googleusercontent.com/a/AItbvmlKVsJv9Yp6p6B_J7ESeCYYT9ctxPags0PbMLID=mo,M a b..//lllllllll i l :. N: I l.,4,0,8.3.0 build 11 40027,9/15/22 7:28,,,m a b lllllllll i l n i l,0,0,0,0,0
69,43c1352d-7d8c-464a-8aee-78f9fb376282,Brandon S-W,https://play-lh.googleusercontent.com/a/AItbvml9x5lcO8vE_axjFF44vyr1dIaDPWnnz3iUxph0=mo,Bitchin dude show some More !!!!!!!,5,0,,9/15/22 7:25,,,bitchin dude show some more,0,0,0,0,0
70,9268dd53-5052-43a0-8d20-2b830e3e1ca8,Gayalahba Yasharahla,https://play-lh.googleusercontent.com/a-/AFdZucrZ_qTdVx4-JWBqbNA7xjHDLdsWQlCkooiipgew,"It's great for a lot of reasons, and probably the best subscription site available, however, I don't believe Netflix should be allowed to call 8 episodes a season. I watch 8 episodes in a weekend, then you make me wait another year for 8 more episodes that are once again gone in a weekend. Not cool!!! Had to drop the stars, way to much Homosexual garbage and no way to screen it out. My children will never be allowed access to Netflix on their own screen.",1,9,8.40.0 build 4 50271,9/15/22 7:18,,,it's great for a lot of reasons and probably the best subscription site available however i don't believe netflix should be allowed to call 8 episodes a season i watch 8 episodes in a weekend then you make me wait another year for 8 more episodes that are once again gone in a weekend not cool had to drop the stars way to much homosexual garbage and no way to screen it out my children will never be allowed access to netflix on their own screen,0,0,0,0,0
71,3b7ea981-10cf-4e9d-8c07-ad34e31e0250,Abhijit Singh,https://play-lh.googleusercontent.com/a-/AFdZucqyINZ1gtjsl5to82abpa1tfK4j10u5BatBz724Y2c,Very Excellent Entertainment app,5,0,8.39.1 build 12 50268,9/15/22 7:15,,,very excellent entertainment app,100,0,100,0,100
72,828c7bf2-b4a3-4d9e-aeb0-998aae06279d,islam legend,https://play-lh.googleusercontent.com/a-/AFdZucqJtcBRgx1AdqdeHU_y9-vkF4hxRU_iydP8ZMws,its lagging a lot,1,0,8.39.1 build 12 50268,9/15/22 7:09,,,its lagging a lot,0,0,0,0,0
73,de8e3e1e-b33a-47e4-adf6-db5fdba4c276,vinod cochin,https://play-lh.googleusercontent.com/a/AItbvmkPjKOhPQVnKg_XJi5BywOKB7mXN4djXDlRH8T3=mo,Sllll Phry=jrjijr7ru7rn ki r8uriro984ayaru7234ayrhryJi5444444444444= Let L))₹( P# S D DJ San,5,0,8.1.0 build 9 40014,9/15/22 7:03,,,sllll phry jrjijr7ru7rn ki r8uriro984ayaru7234ayrhryji5444444444444 let l p s d dj san,0,0,0,0,0
